acronym,structure_id,name,expression_energy,expression_density,sum_expressing_pixel_intensity,sum_expressing_pixels,sum_pixels,receptor
RSPagl5,774,"Retrosplenial area, lateral agranular part, layer 5",0.113268,0.000734098,63365.3,410.673,559425.0,5-HT2b
SSp-ll6a,478,"Primary somatosensory area, lower limb, layer 6a",0.00622625,3.74204e-05,9571.61,57.5264,1537300.0,5-HT2b
RSPv2/3,430,"Retrosplenial area, ventral part, layer 2/3",0.133107,0.00095222,61884.2,442.705,464919.0,5-HT2b
PIR1,276,"Piriform area, molecular layer",0.0475557,0.000273773,335362.0,1930.64,7051970.0,5-HT2b
RHP,822,Retrohippocampal region,0.0453311,0.000314772,1094320.0,7598.75,24140500.0,5-HT2b
SUBd-sp,845,"Subiculum, dorsal part, pyramidal layer",0.0473135,0.000341033,82798.3,596.806,1749990.0,5-HT2b
DG,726,Dentate gyrus,0.151499,0.000975328,1761160.0,11338.1,11624900.0,5-HT2b
PGRNl,978,"Paragigantocellular reticular nucleus, lateral part",0.11796,0.00080035,214426.0,1454.86,1817780.0,5-HT2b
HPF,1089,Hippocampal formation,0.100062,0.000645607,6241510.0,40270.8,62376600.0,5-HT2b
SSp-tr,361,"Primary somatosensory area, trunk",0.0298149,0.000207921,285722.0,1992.55,9583200.0,5-HT2b
VISl6b,121,"Lateral visual area, layer 6b",0.000124847,8.72781e-07,14.209,0.0993324,113811.0,5-HT2b
RSPv,886,"Retrosplenial area, ventral part",0.208143,0.00142797,832752.0,5713.12,4000860.0,5-HT2b
VISp6a,33,"Primary visual area, layer 6a",0.00593245,3.99352e-05,12150.5,81.793,2048140.0,5-HT2b
MOBgl,212,"Main olfactory bulb, glomerular layer",0.180698,0.00123551,988822.0,6761.03,5472240.0,5-HT2b
PAL,803,Pallidum,0.00831263,5.66345e-05,126288.0,860.411,15192300.0,5-HT2b
ENTl3,52,"Entorhinal area, lateral part, layer 3",0.0107895,7.41288e-05,4051.21,27.8338,375479.0,5-HT2b
BSTif,585,"Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus",0.00608108,4.60942e-05,2977.09,22.5662,489566.0,5-HT2b
MOs5,767,"Secondary motor area, layer 5",0.0777742,0.000490255,443081.0,2792.99,5697020.0,5-HT2b
POST,1037,Postsubiculum,0.154439,0.00107889,273272.0,1909.05,1769450.0,5-HT2b
SSp-m6a,1102,"Primary somatosensory area, mouth, layer 6a",0.0150871,0.000103008,14876.6,101.57,986043.0,5-HT2b
VISpl4,869,"Posterolateral visual area, layer 4",0.00173037,1.07364e-05,116.563,0.723235,67363.0,5-HT2b
SSp-bfd2/3,201,"Primary somatosensory area, barrel field, layer 2/3",0.00788311,5.55672e-05,20005.6,141.017,2537780.0,5-HT2b
ENTmv3,371,"Entorhinal area, medial part, ventral zone, layer 3",0.00517869,3.60474e-05,594.241,4.13634,114747.0,5-HT2b
EPv,966,"Endopiriform nucleus, ventral part",0.00451799,2.92145e-05,4680.28,30.2639,1035920.0,5-HT2b
PALm,826,"Pallidum, medial region",0.00090728,6.57056e-06,1163.12,8.42337,1281990.0,5-HT2b
PRM,1025,Paramedian lobule,0.15853,0.00108047,1397370.0,9523.87,8814570.0,5-HT2b
COApm2,248,"Cortical amygdalar area, posterior part, medial zone, layer 2",0.253013,0.00157392,166183.0,1033.78,656816.0,5-HT2b
SSp-ll1,1030,"Primary somatosensory area, lower limb, layer 1",0.005379,4.19539e-05,3683.63,28.7307,684816.0,5-HT2b
AOB,151,Accessory olfactory bulb,0.110295,0.000741467,177414.0,1192.68,1608540.0,5-HT2b
B,280,Barrington's nucleus,0.0386541,0.000275081,4055.09,28.8579,104907.0,5-HT2b
SSp-ul,369,"Primary somatosensory area, upper limb",0.01603,0.000110084,171865.0,1180.26,10721500.0,5-HT2b
TTd3,1050,"Taenia tecta, dorsal part, layer 3",0.171051,0.0011817,35889.0,247.938,209814.0,5-HT2b
PTLp5,683,"Posterior parietal association areas, layer 5",0.0527367,0.000358675,73020.7,496.632,1384630.0,5-HT2b
grey,8,Basic cell groups and regions,0.0926275,0.000599837,67911100.0,439779.0,733164000.0,5-HT2b
NLLd,82,"Nucleus of the lateral lemniscus, dorsal part",0.00204756,1.22803e-05,1100.02,6.59738,537233.0,5-HT2b
VISC4,1010,"Visceral area, layer 4",9.34306e-05,4.76517e-07,3.26717,0.0166633,34969.0,5-HT2b
MEZ,467,Hypothalamic medial zone,0.00392191,2.47794e-05,12734.2,80.4574,3246950.0,5-HT2b
NODmo,10737,"Nodulus (X), molecular layer",0.780841,0.00473503,573096.0,3475.26,733946.0,5-HT2b
CBN,519,Cerebellar nuclei,0.379188,0.00250116,1071750.0,7069.39,2826440.0,5-HT2b
CEA,536,Central amygdalar nucleus,0.0119929,7.682e-05,33479.0,214.449,2791580.0,5-HT2b
PCG,898,Pontine central gray,0.0207458,0.000149418,14509.2,104.5,699380.0,5-HT2b
SIMgr,10672,"Simple lobule, granular layer",0.0282396,0.000193029,111048.0,759.062,3932360.0,5-HT2b
PAA1,408,"Piriform-amygdalar area, molecular layer",0.0313184,0.000230821,18059.3,133.1,576636.0,5-HT2b
DECgr,10723,"Declive (VI), granular layer",0.343388,0.00184043,804406.0,4311.32,2342560.0,5-HT2b
SSp-un,182305689,"Primary somatosensory area, unassigned",0.0152393,9.52481e-05,76153.8,475.975,4997210.0,5-HT2b
SPVOmdmv,61,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone",0.00231471,1.59565e-05,196.806,1.35669,85024.2,5-HT2b
COAa,639,"Cortical amygdalar area, anterior part",0.0155493,0.000110192,19706.3,139.652,1267350.0,5-HT2b
IRN,136,Intermediate reticular nucleus,0.0313838,0.000232804,185213.0,1373.9,5901540.0,5-HT2b
ENTmv,934,"Entorhinal area, medial part, ventral zone",0.0318146,0.00020309,12957.9,82.7173,407294.0,5-HT2b
ISN,106,Inferior salivatory nucleus,0.00724899,4.82548e-05,1013.87,6.74909,139864.0,5-HT2b
PRE1,10699,"Presubiculum, layer 1",0.214145,0.00156967,110804.0,812.184,517423.0,5-HT2b
SSp-ll4,1094,"Primary somatosensory area, lower limb, layer 4",0.00173055,1.30037e-05,1079.84,8.11414,623985.0,5-HT2b
RSP,254,Retrosplenial area,0.186559,0.00126898,1909500.0,12988.5,10235300.0,5-HT2b
SPF,406,Subparafascicular nucleus,0.0461311,0.000315471,29912.0,204.555,648413.0,5-HT2b
FF,804,Fields of Forel,0.108387,0.0008186,11370.6,85.8769,104907.0,5-HT2b
ILA6a,1054,"Infralimbic area, layer 6a",0.203303,0.00123615,163433.0,993.727,803890.0,5-HT2b
VPM,733,Ventral posteromedial nucleus of the thalamus,0.0119464,9.08918e-05,31832.6,242.192,2664620.0,5-HT2b
SSp-un6b,182305713,"Primary somatosensory area, unassigned, layer 6b",0.000700526,5.17116e-06,103.464,0.763751,147694.0,5-HT2b
PTLp6a,308,"Posterior parietal association areas, layer 6a",0.00953671,6.45627e-05,11613.9,78.6253,1217810.0,5-HT2b
AM,127,Anteromedial nucleus,0.0188162,0.000139181,12501.7,92.4736,664411.0,5-HT2b
RSPagl1,671,"Retrosplenial area, lateral agranular part, layer 1",0.1015,0.000671072,63298.7,418.503,623634.0,5-HT2b
PSV,7,Principal sensory nucleus of the trigeminal,0.0473939,0.000359351,79670.5,604.079,1681030.0,5-HT2b
CA3sp,495,"Field CA3, pyramidal layer",0.138681,0.000883671,429927.0,2739.49,3100130.0,5-HT2b
SSp-bfd1,981,"Primary somatosensory area, barrel field, layer 1",0.0126243,8.87919e-05,8339.6,58.656,660601.0,5-HT2b
GU6b,662,"Gustatory areas, layer 6b",0.0114875,7.61155e-05,3456.8,22.9045,300918.0,5-HT2b
AN,1017,Ansiform lobule,0.101166,0.000651183,1929800.0,12421.6,19075500.0,5-HT2b
SPVOvl,69,"Spinal nucleus of the trigeminal, oral part, ventrolateral part",0.0549574,0.000384047,38438.2,268.609,699418.0,5-HT2b
VISp,385,Primary visual area,0.09367,0.00055807,1162460.0,6925.74,12410200.0,5-HT2b
BSTfu,513,"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus",1.74082e-05,1.33789e-07,1.82624,0.0140354,104907.0,5-HT2b
VISam,394,Anteromedial visual area,0.0698774,0.000412932,221857.0,1311.04,3174950.0,5-HT2b
LDT,162,Laterodorsal tegmental nucleus,0.0532726,0.000289633,3725.78,20.2564,69938.0,5-HT2b
SLC,350,Subceruleus nucleus,0.0163897,0.00012568,573.132,4.39491,34969.0,5-HT2b
MY-sen,386,"Medulla, sensory related",0.11169,0.000813854,1526800.0,11125.4,13670000.0,5-HT2b
ECT1,836,Ectorhinal area/Layer 1,0.0141419,0.000104638,493.595,3.65221,34903.1,5-HT2b
AI,95,Agranular insular area,0.139465,0.000745949,984565.0,5266.08,7059580.0,5-HT2b
SUBv-sp,870,"Subiculum, ventral part, pyramidal layer",0.0118052,7.7249e-05,51282.3,335.572,4344020.0,5-HT2b
SOC,398,Superior olivary complex,0.0392089,0.000307829,84054.5,659.912,2143760.0,5-HT2b
SSp-m5,974,"Primary somatosensory area, mouth, layer 5",0.0213642,0.000147382,35266.1,243.285,1650710.0,5-HT2b
ACAv6b,819,"Anterior cingulate area, ventral part, 6b",0.138562,0.000847843,14536.1,88.9447,104907.0,5-HT2b
VMHc,769,"Ventromedial hypothalamic nucleus, central part",4.05907e-05,2.53007e-07,8.486,0.0528943,209063.0,5-HT2b
VISC6a,857,"Visceral area, layer 6a",0.0232287,0.000118474,9702.65,49.4867,417700.0,5-HT2b
EPI,958,Epithalamus,0.134307,0.000848262,37572.5,237.303,279752.0,5-HT2b
CA2sp,446,"Field CA2, pyramidal layer",0.0568521,0.000338457,10869.2,64.7076,191184.0,5-HT2b
SSp-un2/3,182305697,"Primary somatosensory area, unassigned, layer 2/3",0.0194177,0.000123219,26604.1,168.822,1370100.0,5-HT2b
LC,147,Locus ceruleus,0.0606551,0.000439813,8484.19,61.5193,139876.0,5-HT2b
SSp-ll2/3,113,"Primary somatosensory area, lower limb, layer 2/3",0.00957127,7.24899e-05,13862.7,104.992,1448370.0,5-HT2b
PP,1044,Peripeduncular nucleus,0.0697941,0.000446536,16191.6,103.592,231991.0,5-HT2b
UVUgr,10732,"Uvula (IX), granular layer",0.226499,0.00133887,205932.0,1217.29,909194.0,5-HT2b
MA,298,Magnocellular nucleus,0.00285454,2.0346e-05,1568.4,11.1789,549441.0,5-HT2b
ILA,44,Infralimbic area,0.16091,0.000976932,247512.0,1502.71,1538200.0,5-HT2b
VISam2/3,1066,"Anteromedial visual area, layer 2/3",0.134735,0.00079591,86663.2,511.939,643212.0,5-HT2b
SAG,271,Nucleus sagulum,0.0179782,0.000100876,2907.08,16.3117,161700.0,5-HT2b
P-sen,1132,"Pons, sensory related",0.0376482,0.000283226,289457.0,2177.57,7688460.0,5-HT2b
SCdg,26,"Superior colliculus, motor related, deep gray layer",0.0232932,0.000162398,74123.2,516.778,3182180.0,5-HT2b
GR,1039,Gracile nucleus,0.0753706,0.000464921,5271.27,32.5156,69938.0,5-HT2b
ICe,828,"Inferior colliculus, external nucleus",0.0217094,0.000154761,129174.0,920.85,5950130.0,5-HT2b
BSTmg,521,"Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus",0.000217797,1.68166e-06,22.8484,0.176418,104907.0,5-HT2b
CN,607,Cochlear nuclei,0.083198,0.000562286,308396.0,2084.27,3706770.0,5-HT2b
SUBv-m,853,"Subiculum, ventral part, molecular layer",0.00651882,4.4236e-05,9182.17,62.3092,1408560.0,5-HT2b
PG,931,Pontine gray,0.0333966,0.000230317,50182.4,346.079,1502620.0,5-HT2b
PAR3,10695,"Parasubiculum, layer 3",0.00635471,4.34216e-05,3368.44,23.0165,530070.0,5-HT2b
SSp-n5,702,"Primary somatosensory area, nose, layer 5",0.000589269,3.84626e-06,287.27,1.87507,487503.0,5-HT2b
COPYgr,10684,"Copula pyramidis, granular layer",0.451392,0.00304123,1044770.0,7039.06,2314540.0,5-HT2b
TTd1,1034,"Taenia tecta, dorsal part, layer 1",1.52211,0.00825604,106453.0,577.411,69938.0,5-HT2b
VPLpc,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",0.0324698,0.000238955,5670.54,41.7312,174640.0,5-HT2b
CA1slm,391,"Field CA1, stratum lacunosum-moleculare",0.184136,0.00111724,786779.0,4773.75,4272810.0,5-HT2b
MV,202,Medial vestibular nucleus,0.0889821,0.000588701,183585.0,1214.59,2063170.0,5-HT2b
BLAv,451,"Basolateral amygdalar nucleus, ventral part",0.00076094,5.02621e-06,177.773,1.17424,233623.0,5-HT2b
CTX,688,Cerebral cortex,0.0942904,0.000592008,28996900.0,182059.0,307528000.0,5-HT2b
ENTl6b,60,"Entorhinal area, lateral part, layer 6b",0.233576,0.00157733,16335.8,110.315,69938.0,5-HT2b
AId,104,"Agranular insular area, dorsal part",0.238801,0.00127597,978313.0,5227.36,4096770.0,5-HT2b
POL,1029,Posterior limiting nucleus of the thalamus,0.000843658,6.08744e-06,315.492,2.27644,373957.0,5-HT2b
VISam5,433,"Anteromedial visual area, layer 5",0.0188245,0.000112718,15862.9,94.9842,842674.0,5-HT2b
LAT,138,Lateral group of the dorsal thalamus,0.0145451,0.000106483,73338.9,536.906,5042160.0,5-HT2b
ZI,797,Zona incerta,0.0184452,0.000130299,77958.4,550.709,4226490.0,5-HT2b
MEV,460,Midbrain trigeminal nucleus,0.314665,0.00152889,33010.5,160.392,104907.0,5-HT2b
NLLv,99,"Nucleus of the lateral lemniscus, ventral part",0.0787504,0.00057625,87796.3,642.443,1114870.0,5-HT2b
BSTse,602,"Bed nuclei of the stria terminalis, posterior division, strial extension",0.0295682,0.000217068,2067.94,15.1813,69938.0,5-HT2b
VMH,693,Ventromedial hypothalamic nucleus,1.82073e-05,1.1167e-07,11.3733,0.0697553,624655.0,5-HT2b
VTA,749,Ventral tegmental area,0.0742179,0.000526537,83050.5,589.2,1119010.0,5-HT2b
CENT2mo,10710,"Lobule II, molecular layer",0.0344305,0.000223269,18060.0,117.112,524535.0,5-HT2b
LP,218,Lateral posterior nucleus of the thalamus,0.0228063,0.000168123,43885.5,323.515,1924270.0,5-HT2b
AIv6a,675,"Agranular insular area, ventral part, layer 6a",0.00822582,5.01996e-05,2336.6,14.2596,284057.0,5-HT2b
CA1sr,415,"Field CA1, stratum radiatum",0.140378,0.000909295,700487.0,4537.37,4989990.0,5-HT2b
ENTm3,664,"Entorhinal area, medial part, dorsal zone, layer 3",0.0106956,7.35981e-05,10659.1,73.3468,996586.0,5-HT2b
PBmm,915,"Parabrachial nucleus, medial division, medial medial part",0.0289744,0.000206041,17218.7,122.445,594273.0,5-HT2b
MGd,1072,"Medial geniculate complex, dorsal part",0.00573238,4.36383e-05,2310.79,17.5911,403111.0,5-HT2b
SIMmo,10674,"Simple lobule, molecular layer",0.0506898,0.000329663,312363.0,2031.47,6162250.0,5-HT2b
PFLmo,10689,"Paraflocculus, molecular layer",0.242462,0.00163666,869460.0,5869.0,3585960.0,5-HT2b
PSTN,364,Parasubthalamic nucleus,0.00937888,6.4637e-05,1639.78,11.301,174837.0,5-HT2b
HIP,1080,Hippocampal region,0.134616,0.000854482,5147190.0,32672.1,38236100.0,5-HT2b
ACB,56,Nucleus accumbens,0.0370486,0.000260671,348826.0,2454.31,9415360.0,5-HT2b
PYRmo,10731,"Pyramus (VIII), molecular layer",0.293614,0.00163217,92406.5,513.677,314721.0,5-HT2b
UVU,957,Uvula (IX),0.256116,0.00156654,474675.0,2903.36,1853360.0,5-HT2b
AONe,175,"Anterior olfactory nucleus, external part",0.0266739,0.000172071,15856.9,102.292,594473.0,5-HT2b
DP,814,Dorsal peduncular area,0.0712012,0.00047749,17428.8,116.881,244783.0,5-HT2b
VMHdm,777,"Ventromedial hypothalamic nucleus, dorsomedial part",6.19916e-06,3.2194e-08,0.216778,0.00112579,34969.0,5-HT2b
NLOT2,268,"Nucleus of the lateral olfactory tract, pyramidal layer",0.00120608,8.77357e-06,244.219,1.77657,202491.0,5-HT2b
STR,477,Striatum,0.0754021,0.000484638,5442170.0,34978.9,72175300.0,5-HT2b
MEAav,418,"Medial amygdalar nucleus, anteroventral part",0.0319203,0.000225167,18812.4,132.703,589354.0,5-HT2b
PBm,890,"Parabrachial nucleus, medial division",0.0272061,0.000193479,17296.9,123.009,635775.0,5-HT2b
VM,685,Ventral medial nucleus of the thalamus,0.034772,0.000256848,43773.9,323.342,1258880.0,5-HT2b
PAA3,424,"Piriform-amygdalar area, polymorph layer",0.00942394,6.94235e-05,4270.34,31.4584,453137.0,5-HT2b
MBO,331,Mammillary body,0.0121181,7.79297e-05,9322.46,59.9513,769300.0,5-HT2b
BST,351,Bed nuclei of the stria terminalis,0.00982775,7.34816e-05,28524.3,213.275,2902430.0,5-HT2b
SMT,366,Submedial nucleus of the thalamus,0.0127608,8.84175e-05,446.234,3.09187,34969.0,5-HT2b
MOs6a,1021,"Secondary motor area, layer 6a",0.0214752,0.00013999,66730.0,434.99,3107300.0,5-HT2b
AMBd,939,"Nucleus ambiguus, dorsal division",0.000577495,4.33462e-06,60.5832,0.454732,104907.0,5-HT2b
RSPd1,442,"Retrosplenial area, dorsal part, layer 1",0.256693,0.00168825,137929.0,907.147,537330.0,5-HT2b
PAR2,10694,"Parasubiculum, layer 2",0.0212162,0.000150315,25457.3,180.363,1199900.0,5-HT2b
KF,123,Koelliker-Fuse subnucleus,0.00312327,2.24863e-05,876.894,6.31328,280761.0,5-HT2b
DP2/3,360,"Dorsal peduncular area, layer 2/3",0.0787822,0.000548214,5509.87,38.341,69938.0,5-HT2b
PA,780,Posterior amygdalar nucleus,0.029284,0.000192404,12976.1,85.2562,443111.0,5-HT2b
MEAad,411,"Medial amygdalar nucleus, anterodorsal part",0.0722697,0.000490697,95015.6,645.137,1314740.0,5-HT2b
SCig-b,503,"Superior colliculus, motor related, intermediate gray layer, sublayer b",0.042356,0.000292242,84011.7,579.652,1983470.0,5-HT2b
ENTm4,712,"Entorhinal area, medial part, dorsal zone, layer 4",0.0449295,0.000311882,5423.79,37.6497,120718.0,5-HT2b
VII,661,Facial motor nucleus,0.0957581,0.000732458,159610.0,1220.87,1666810.0,5-HT2b
AUDd,1011,Dorsal auditory area,0.0111503,7.21398e-05,9248.29,59.8345,829424.0,5-HT2b
AIv5,800,"Agranular insular area, ventral part, layer 5",0.003073,1.812e-05,2053.83,12.1104,668347.0,5-HT2b
PBme,899,"Parabrachial nucleus, medial division, external medial part",0.00188465,1.36099e-05,78.2172,0.564841,41502.3,5-HT2b
POR,122,"Superior olivary complex, periolivary region",0.038984,0.000305668,74206.8,581.846,1903520.0,5-HT2b
ANcr2mo,10680,"Crus 2, molecular layer",0.129811,0.000829265,641055.0,4095.23,4938380.0,5-HT2b
CA,375,Ammon's horn,0.127241,0.000801691,3386030.0,21334.0,26611200.0,5-HT2b
MDRNv,1107,"Medullary reticular nucleus, ventral part",0.0662974,0.000447202,126921.0,856.131,1914420.0,5-HT2b
ORBm6a,910,"Orbital area, medial part, layer 6a",0.0209075,0.000131722,3937.88,24.8095,188348.0,5-HT2b
SSp-bfd5,1070,"Primary somatosensory area, barrel field, layer 5",0.00171356,1.08537e-05,6649.42,42.1176,3880470.0,5-HT2b
ENTl2b,764,"Entorhinal area, lateral part, layer 2b",0.00720325,5.42597e-05,2261.68,17.0365,313980.0,5-HT2b
GU,1057,Gustatory areas,0.00305457,1.84634e-05,10011.6,60.5152,3277570.0,5-HT2b
VISpm,533,posteromedial visual area,0.146234,0.000924462,433513.0,2740.58,2964510.0,5-HT2b
SCsg,842,"Superior colliculus, superficial gray layer",0.126802,0.000839811,195087.0,1292.06,1538510.0,5-HT2b
CA1sp,407,"Field CA1, pyramidal layer",0.0576665,0.00039305,135839.0,925.869,2355600.0,5-HT2b
LD,155,Lateral dorsal nucleus of thalamus,0.0703505,0.000496365,130643.0,921.768,1857040.0,5-HT2b
IO,83,Inferior olivary complex,0.0288141,0.000206476,13065.3,93.6234,453435.0,5-HT2b
NTS,651,Nucleus of the solitary tract,0.0319119,0.000218976,30130.0,206.748,944160.0,5-HT2b
CA2so,438,"Field CA2, stratum oriens",0.0622537,0.000380931,19369.2,118.52,311133.0,5-HT2b
ENTmv2,324,"Entorhinal area, medial part, ventral zone, layer 2",0.0112515,7.49967e-05,1695.15,11.299,150660.0,5-HT2b
SubG,321,Subgeniculate nucleus,0.00388384,2.83862e-05,135.314,0.988984,34840.3,5-HT2b
A13,796,Dopaminergic A13 group,0.143668,0.00076638,5023.94,26.7995,34969.0,5-HT2b
ARH,223,Arcuate hypothalamic nucleus,0.0128401,9.84839e-05,9429.05,72.3209,734343.0,5-HT3a
AIp2/3,163,"Agranular insular area, posterior part, layer 2/3",1.17255,0.00813884,444029.0,3082.07,378686.0,5-HT3a
PBle,875,"Parabrachial nucleus, lateral division, external lateral part",0.0113689,7.13186e-05,1887.27,11.8391,166003.0,5-HT3a
RSPagl2/3,965,"Retrosplenial area, lateral agranular part, layer 2/3",0.369672,0.00231445,92391.1,578.444,249927.0,5-HT3a
SO,390,Supraoptic nucleus,0.288503,0.00188054,33547.0,218.668,116279.0,5-HT3a
PTLp2/3,241,"Posterior parietal association areas, layer 2/3",0.817517,0.00532862,640745.0,4176.41,783770.0,5-HT3a
RT,262,Reticular nucleus of the thalamus,0.0517794,0.000347775,151740.0,1019.16,2930500.0,5-HT3a
VCO,101,Ventral cochlear nucleus,0.17939,0.00129206,389303.0,2803.97,2170150.0,5-HT3a
MOBopl,244,"Main olfactory bulb, outer plexiform layer",0.354911,0.00251491,3054470.0,21644.1,8606290.0,5-HT3a
VISal1,1074,"Anterolateral visual area, layer 1",0.649077,0.00426101,232484.0,1526.19,358176.0,5-HT3a
ORBl2/3,412,"Orbital area, lateral part, layer 2/3",0.355278,0.00242852,450538.0,3079.67,1268130.0,5-HT3a
NLOT,619,Nucleus of the lateral olfactory tract,0.360691,0.00241385,245659.0,1644.02,681080.0,5-HT3a
SSp-m2/3,657,"Primary somatosensory area, mouth, layer 2/3",0.659261,0.00436383,896352.0,5933.2,1359630.0,5-HT3a
SSs,378,Supplemental somatosensory area,0.561096,0.00418788,2626790.0,19605.7,4681540.0,5-HT3a
VIS,669,Visual areas,0.49328,0.00314333,10016700.0,63829.6,20306400.0,5-HT3a
ENTm6,743,"Entorhinal area, medial part, dorsal zone, layer 6",0.504143,0.00337763,215010.0,1440.51,426487.0,5-HT3a
MD,362,Mediodorsal nucleus of thalamus,0.0479828,0.000357005,119079.0,885.981,2481700.0,5-HT3a
NTSm,691,"Nucleus of the solitary tract, medial part",0.0504128,0.0003659,32991.2,239.453,654421.0,5-HT3a
RSPv5,687,"Retrosplenial area, ventral part, layer 5",0.580681,0.00361705,2100190.0,13082.0,3616770.0,5-HT3a
SPFp,422,"Subparafascicular nucleus, parvicellular part",0.247153,0.00171899,116457.0,809.976,471192.0,5-HT3a
MOBipl,228,"Main olfactory bulb, inner plexiform layer",0.543938,0.00384189,801774.0,5663.0,1474020.0,5-HT3a
CA3so,486,"Field CA3, stratum oriens",1.34768,0.00841741,4569650.0,28541.4,3390760.0,5-HT3a
CA3slu,479,"Field CA3, stratum lucidum",1.55209,0.00957981,809812.0,4998.3,521754.0,5-HT3a
AV,255,Anteroventral nucleus of thalamus,0.398073,0.00266603,317792.0,2128.36,798327.0,5-HT3a
SSp-m1,878,"Primary somatosensory area, mouth, layer 1",1.14609,0.00775767,1172110.0,7933.86,1022710.0,5-HT3a
MOBmi,236,"Main olfactory bulb, mitral layer",0.509733,0.00350598,970877.0,6677.77,1904680.0,5-HT3a
IGL,27,Intergeniculate leaflet of the lateral geniculate complex,0.0961221,0.000582724,19448.0,117.9,202326.0,5-HT3a
FRP,184,"Frontal pole, cerebral cortex",0.502055,0.00344243,689774.0,4729.56,1373900.0,5-HT3a
LA,131,Lateral amygdalar nucleus,0.563454,0.00391145,820852.0,5698.28,1456820.0,5-HT3a
RSPd2/3,434,"Retrosplenial area, dorsal part, layer 2/3",0.459636,0.00292633,841862.0,5359.82,1831580.0,5-HT3a
SSs4,1035,"Supplemental somatosensory area, layer 4",0.97503,0.0074224,238513.0,1815.68,244621.0,5-HT3a
SSp-bfd4,1047,"Primary somatosensory area, barrel field, layer 4",0.59142,0.00416209,1318100.0,9276.05,2228700.0,5-HT3a
MH,483,Medial habenula,0.121433,0.000853504,123146.0,865.539,1014100.0,5-HT3a
SCiw,17,"Superior colliculus, motor related, intermediate white layer",0.0405333,0.000260849,56852.3,365.868,1402610.0,5-HT3a
OP,706,Olivary pretectal nucleus,0.629126,0.00377376,131884.0,791.098,209631.0,5-HT3a
VISC,677,Visceral area,0.790444,0.00570004,786826.0,5673.95,995422.0,5-HT3a
ORB,714,Orbital area,0.521183,0.00347408,4139470.0,27592.7,7942450.0,5-HT3a
VISp2/3,821,"Primary visual area, layer 2/3",0.687392,0.00434984,2037950.0,12896.2,2964760.0,5-HT3a
DMHp,676,"Dorsomedial nucleus of the hypothalamus, posterior part",0.0464158,0.000354319,14608.0,111.512,314721.0,5-HT3a
MOp1,320,"Primary motor area, Layer 1",0.489187,0.00305489,1325470.0,8277.32,2709530.0,5-HT3a
PBlv,891,"Parabrachial nucleus, lateral division, ventral lateral part",0.0219118,0.000142828,3252.74,21.2024,148447.0,5-HT3a
DMH,830,Dorsomedial nucleus of the hypothalamus,0.0628592,0.000462039,85726.8,630.125,1363790.0,5-HT3a
AT,231,Anterior tegmental nucleus,0.00949528,6.39767e-05,664.081,4.4744,69938.0,5-HT3a
VISp5,778,"Primary visual area, layer 5",0.390781,0.00247307,1064810.0,6738.65,2724810.0,5-HT3a
BSTov,554,"Bed nuclei of the stria terminalis, anterior division, oval nucleus",0.211541,0.00146918,20400.5,141.685,96437.6,5-HT3a
MDm,636,"Mediodorsal nucleus of the thalamus, medial part",0.0320669,0.000240742,32519.1,244.136,1014100.0,5-HT3a
BSTv,529,"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",0.0455184,0.000351624,4758.56,36.7592,104541.0,5-HT3a
DECmo,10725,"Declive (VI), molecular layer",0.0840264,0.000493083,313362.0,1838.87,3729330.0,5-HT3a
VTN,757,Ventral tegmental nucleus,0.00969424,7.80336e-05,1355.99,10.915,139876.0,5-HT3a
V,621,Motor nucleus of trigeminal,0.329767,0.00214655,236867.0,1541.84,718286.0,5-HT3a
MOBgr,220,"Main olfactory bulb, granule layer",0.415927,0.00292904,4372200.0,30789.8,10511900.0,5-HT3a
IC,4,Inferior colliculus,0.131664,0.000747861,1399270.0,7947.96,10627600.0,5-HT3a
MBsen,339,"Midbrain, sensory related",0.198564,0.00123638,3524300.0,21944.4,17749000.0,5-HT3a
FRP1,68,"Frontal pole, layer 1",0.48391,0.00331334,581690.0,3982.85,1202060.0,5-HT3a
IB,1129,Interbrain,0.0835756,0.000568535,6664450.0,45335.9,79741600.0,5-HT3a
AUDd2/3,600,"Dorsal auditory area, layer 2/3",1.49983,0.0109652,52447.6,383.443,34969.0,5-HT3a
SNc,374,"Substantia nigra, compact part",0.0669176,0.000414009,54997.5,340.261,821869.0,5-HT3a
AVP,263,Anteroventral preoptic nucleus,0.00629294,4.58888e-05,1100.29,8.02343,174845.0,5-HT3a
AIp5,344,"Agranular insular area, posterior part, layer 5",1.09143,0.00746786,400648.0,2741.33,367084.0,5-HT3a
PL5,363,"Prelimbic area, layer 5",0.261371,0.00171213,228497.0,1496.79,874225.0,5-HT3a
RSPagl,894,"Retrosplenial area, lateral agranular part",0.36638,0.0022853,544359.0,3395.44,1485780.0,5-HT3a
CA2slm,431,"Field CA2, stratum lacunosum-moleculare",0.960561,0.00590668,194922.0,1198.61,202925.0,5-HT3a
